,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
1090,,0.497,0.553,5,-8.243,1,0.102,0.149,0.00141,0.303,0.505,185.986,141290.0,4,alternative,0.274841,0.250985
1099,,0.49,0.746,10,-5.458,1,0.042,0.00972,1.58e-05,0.0235,0.948,165.056,208013.0,4,alternative,0.36554,0.46452
1105,,0.491,0.527,7,-6.556,1,0.0474,0.658,0.0,0.122,0.151,120.423,179360.0,4,alternative,0.258757,0.074141
1106,,0.481450642,0.73721401,6,-5.454322882,0,0.050346695,0.058483274,0.006955781,0.172172356,0.480145158,131.3519559,231361.2534,4,alternative,0.35493215840589437,0.23116619457229143
1107,,0.489897955,0.641528399,8,-9.002527264,0,0.03485122,0.230008944,4.21e-05,0.114830816,0.531603818,122.8651528,215953.0182,4,alternative,0.3142834507445241,0.2604316233083922
1114,,0.480129895,0.805010172,3,-5.977638539,0,0.034215791,0.020699011,0.019171056,0.099656522,0.688830796,129.6088439,236074.7901,4,alternative,0.38650944935629195,0.33072825775624637
1125,,0.49508934,0.75550087,2,-7.812014497,0,0.044304457,0.117024339,0.010707057,0.10331223,0.38952394,122.3603003,246443.484,4,alternative,0.3740404270977258,0.1928491503687996
1126,,0.482422835,0.615324432,3,-9.16496019,0,0.040475137,0.082137793,0.002373936,0.227308097,0.547244127,138.3924622,236133.6641,4,alternative,0.29684655693020473,0.26400306318444006
1141,,0.473479292,0.706845492,2,-5.507461093,0,0.041859662,0.156649553,0.019574639,0.215247477,0.550496536,116.1987661,223018.3562,4,alternative,0.33467670310555164,0.26064871011373253
1143,,0.465015239,0.792435951,2,-7.743193247,0,0.048881102,0.239081246,0.007256195,0.169052157,0.626215158,129.1218779,182580.7689,4,alternative,0.3684947931464573,0.2911995913627928
1148,,0.487144283,0.662374954,3,-6.978203928,0,0.042266975,0.248135514,0.008453145,0.201680097,0.627809173,124.1931004,214276.0255,4,alternative,0.32267217204348797,0.305833649441908
1158,,0.46923261,0.75456473,5,-5.395053333,0,0.047379799,0.050882658,0.021264829,0.113662097,0.405628753,116.0939573,232863.1255,4,alternative,0.3540663776718453,0.19033423846123534
