,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
856,,0.486,0.763,7,-3.088,0,0.0646,0.0299,2.32e-06,0.0965,0.337,159.822,205500.0,3,pop,0.370818,0.163782
857,,0.471,0.409,2,-12.05,1,0.0438,0.828,0.832,0.339,0.151,79.965,198000.0,4,pop,0.19263899999999998,0.07112099999999999
862,,0.481,0.538,5,-7.788,1,0.0468,0.288,0.0181,0.0964,0.218,133.124,211133.0,4,pop,0.258778,0.10485799999999999
875,,0.478,0.776,0,-6.78,1,0.0661,0.309,0.068,0.53,0.539,174.007,208276.0,4,pop,0.370928,0.257642
895,,0.488,0.519,10,-8.157,1,0.0357,0.159,2.57e-05,0.116,0.325,144.961,158897.0,4,pop,0.253272,0.1586
905,,0.441,0.508,11,-5.662,1,0.0347,0.879,0.000168,0.145,0.19,75.194,157068.0,4,pop,0.224028,0.08379
908,,0.473,0.591,3,-6.902,1,0.041,0.692,5e-05,0.0914,0.255,75.773,198107.0,4,pop,0.279543,0.120615
910,,0.456,0.85,0,-7.897,1,0.0853,0.00271,3.75e-05,0.231,0.132,132.866,190903.0,4,pop,0.3876,0.060192
915,,0.459,0.755,5,-5.498,1,0.104,0.216,0.000293,0.121,0.462,164.914,189956.0,4,pop,0.346545,0.21205800000000002
921,,0.494,0.348,9,-9.791,0,0.03,0.652,1.07e-05,0.0859,0.134,104.923,184963.0,3,pop,0.17191199999999998,0.066196
922,,0.498,0.601,9,-9.379,0,0.229,0.534,0.0,0.122,0.73,89.779,249839.0,4,pop,0.299298,0.36354
952,,0.496,0.345,9,-7.893,1,0.15,0.728,0.0,0.0687,0.151,180.719,161470.0,4,pop,0.17112,0.07489599999999999
955,,0.467,0.573,5,-5.009,0,0.23,0.203,1.09e-06,0.102,0.56,88.675,141061.0,3,pop,0.26759099999999997,0.26152000000000003
971,,0.405,0.102,11,-12.794,1,0.0438,0.644,1.84e-06,0.145,0.202,134.303,238665.0,3,pop,0.04131,0.08181000000000001
1017,,0.441,0.703,0,-4.432,1,0.0404,0.147,0.0,0.297,0.711,83.172,216667.0,4,pop,0.310023,0.31355099999999997
