,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
869,,0.438,0.428,7,-14.861,1,0.0263,0.0841,4.63e-05,0.138,0.209,94.864,274760.0,4,rock,0.187464,0.091542
871,,0.482,0.808,0,-7.034,1,0.0465,0.000575,0.0036,0.14,0.392,134.237,278133.0,4,rock,0.389456,0.188944
872,,0.477,0.949,10,-4.328,0,0.0796,1.22e-05,0.00293,0.211,0.246,107.507,246837.0,4,rock,0.45267299999999994,0.11734199999999999
873,,0.487,0.852,10,-7.184,1,0.0489,0.0376,4.06e-06,0.0995,0.666,143.258,266733.0,4,rock,0.41492399999999996,0.324342
876,,0.481,0.865,7,-5.498,1,0.0283,0.0204,1.24e-06,0.17,0.241,92.086,273160.0,4,rock,0.41606499999999996,0.115921
879,,0.424,0.853,11,-4.291,1,0.0378,0.00888,0.0,0.105,0.354,96.034,265067.0,4,rock,0.361672,0.15009599999999998
886,,0.417,0.739,0,-7.02,1,0.029,0.00037,0.00919,0.0692,0.126,146.289,383933.0,4,rock,0.30816299999999996,0.052542
889,,0.488,0.792,5,-7.882,1,0.0373,0.242,0.0147,0.217,0.617,137.541,489507.0,4,rock,0.386496,0.301096
892,,0.429,0.631,4,-11.514,0,0.0769,7.85e-05,0.00411,0.175,0.376,162.734,168440.0,4,rock,0.270699,0.161304
894,,0.489,0.918,1,-4.502,1,0.0554,3.53e-05,7.64e-05,0.0908,0.691,116.731,300893.0,4,rock,0.448902,0.33789899999999995
895,,0.458,0.783,8,-3.226,0,0.0322,0.346,6.14e-06,0.13,0.224,113.072,167907.0,3,rock,0.35861400000000004,0.102592
897,,0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,336000.0,4,rock,0.366544,0.187488
905,,0.438,0.71,2,-12.412,1,0.0919,0.262,0.537,0.221,0.53,145.928,210373.0,4,rock,0.31098,0.23214
906,,0.445,0.955,8,-8.027,1,0.0856,0.0326,0.284,0.317,0.336,123.343,273600.0,4,rock,0.424975,0.14952000000000001
910,,0.482,0.601,7,-12.846,1,0.0486,0.00853,0.000187,0.249,0.774,125.619,252493.0,4,rock,0.289682,0.373068
