,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
307,spotify:track:1ghlpxVfPbFH2jenrv9vVw,0.471,0.411,2,-15.755,1,0.041,0.733,0.853,0.28,0.282,79.986,254347,4,Classical
323,spotify:track:5VuwAhMCz9EMg3RHL1KUEr,0.493,0.175,10,-18.049,0,0.036,0.949,0.777,0.112,0.278,106.903,286467,4,Classical
342,spotify:track:36qn2bFfZzUwM6eIv2XOc9,0.486,0.312,1,-16.772,1,0.0317,0.206,0.734,0.0854,0.11,135.988,213893,4,Classical
346,spotify:track:0OKWHkdIAi2purVKdqaPC0,0.448,0.22,3,-15.014,1,0.035,0.775,0.837,0.0813,0.0947,137.915,337467,3,Classical
351,spotify:track:1Vk4yRsz0iBzDiZEoFMQyv,0.476,0.192,9,-15.753,1,0.064,0.976,0.928,0.119,0.114,116.542,98040,3,Classical
355,spotify:track:0lEtONdoCJJwUfmXUS2Zmk,0.463,0.273,9,-18.639,1,0.0358,0.361,0.943,0.165,0.521,109.23,109933,5,Classical
369,spotify:track:4TuGt2O2iqrisOsNQNrL0j,0.407,0.433,2,-15.331,0,0.0376,0.467,0.936,0.0663,0.0779,119.921,155827,4,Classical
377,spotify:track:7bAN5DH2H17rt4x3dTid0R,0.458,0.00493,11,-32.958,1,0.0498,0.995,0.965,0.0674,0.0717,136.549,146880,1,Classical
387,spotify:track:5bu9A6uphPWg39RC3ZKeku,0.454,0.0139,4,-29.966,0,0.0514,0.995,0.943,0.0736,0.244,130.253,184853,4,Classical
389,spotify:track:0hZBK2IS2uKdWVwEWXX1vB,0.449,0.00766,9,-37.783,0,0.103,0.991,0.873,0.0732,0.575,64.059,175427,3,Classical
390,spotify:track:4TdplSGjf7izKmKe81pt6b,0.448,0.00397,9,-27.003,0,0.0788,0.995,0.912,0.0612,0.0377,51.112,111307,4,Classical
397,spotify:track:4PpPfjRNDzPD0A6A5xgu0z,0.427,0.00255,10,-36.604,1,0.0638,0.995,0.932,0.0706,0.393,110.032,189800,4,Classical
404,spotify:track:1NYElq76ajtGZWEOubEK8b,0.407,0.0991,5,-23.591,1,0.0423,0.99,0.894,0.0867,0.0313,125.016,471827,4,Classical
425,spotify:track:5a25wA4ObPtHPqxa5FQWtm,0.421,0.089,3,-24.23,1,0.0406,0.975,0.893,0.139,0.107,122.203,228851,3,Classical
430,spotify:track:6FFZbtg273iQI49nWoWhoM,0.431,0.508,7,-20.299,1,0.0996,0.922,0.889,0.42,0.767,168.853,360074,4,Classical
433,spotify:track:0nJzrxHup9vkQyc9Eg698s,0.47,0.00188,1,-32.773,1,0.0494,0.992,0.867,0.115,0.0863,67.573,207047,3,Classical
441,spotify:track:26x7jjMJoZIljbxPNR053C,0.442,0.12,7,-23.755,1,0.0426,0.993,0.862,0.11,0.322,123.836,361813,4,Classical
448,spotify:track:0rTWmhqlac0DNHc5xXk1SW,0.439,0.0251,4,-29.029,1,0.0381,0.994,0.921,0.129,0.215,68.171,158374,4,Classical
452,spotify:track:3DYxUyNeBa9MbT867F9gMO,0.435,0.00354,11,-39.482,1,0.0485,0.986,0.909,0.096,0.179,68.542,195000,4,Classical
469,spotify:track:01Wtra76hWGRxIhF7JityY,0.412,0.0905,5,-21.625,1,0.0514,0.995,0.904,0.0823,0.0378,113.244,157090,3,Classical
482,spotify:track:3H3Lumww4SpO3ywuHbytIL,0.411,0.393,2,-13.372,1,0.0358,0.949,0.916,0.0984,0.376,90.561,162240,4,Classical
