,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres,danceability_energy_ratio,danceability_valence_ratio
984,,0.456,0.0287,11,-27.516,1,0.041,0.994,0.958,0.121,0.105,104.185,143506.0,4,classical,0.0130872,0.04788
987,,0.48,0.126,10,-18.512,0,0.0281,0.966,0.619,0.1,0.0503,74.026,180227.0,3,classical,0.06048,0.024144
990,,0.481,0.0379,6,-21.007,1,0.0695,0.995,0.94,0.0942,0.287,76.169,218307.0,4,classical,0.0182299,0.13804699999999998
992,,0.472,0.0221,5,-25.876,1,0.0405,0.99,0.955,0.0955,0.504,133.728,157875.0,4,classical,0.0104312,0.237888
1001,,0.437,0.042,0,-27.623,1,0.038,0.988,0.916,0.0822,0.275,119.172,165125.0,5,classical,0.018354000000000002,0.120175
1005,,0.421,0.108,11,-23.073,0,0.0979,0.995,0.956,0.103,0.167,76.224,198545.0,4,classical,0.045467999999999995,0.07030700000000001
1009,,0.44,0.157,7,-18.887,1,0.0417,0.953,0.936,0.107,0.449,104.824,152116.0,4,classical,0.06908,0.19756
1010,,0.406,0.0333,10,-25.767,1,0.0552,0.995,0.946,0.161,0.362,66.066,184138.0,4,classical,0.013519800000000002,0.146972
1012,,0.49,0.162,2,-14.205,1,0.0308,0.798,0.113,0.0786,0.293,139.858,203727.0,4,classical,0.07938,0.14356999999999998
1013,,0.44,0.127,8,-18.466,1,0.0494,0.99,0.921,0.133,0.111,123.0,294100.0,4,classical,0.05588,0.04884
1015,,0.467,0.00556,1,-27.983,1,0.0502,0.991,0.94,0.0886,0.206,136.406,210245.0,1,classical,0.00259652,0.096202
1019,,0.412,0.0374,4,-25.845,0,0.0375,0.994,0.826,0.109,0.209,94.822,162802.0,1,classical,0.0154088,0.08610799999999999
1028,,0.452,0.0128,10,-29.516,0,0.0497,0.992,0.958,0.0959,0.101,102.244,281053.0,4,classical,0.0057856,0.045652000000000005
