,Track URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genres
300,spotify:track:6JvEXmRh3l2acBzvqavgT9,0.435,0.88,2,-8.451,1,0.0448,0.00265,0.0014,0.436,0.593,91.116,347093,4,Alternative
317,spotify:track:76GlO5H5RT6g7y0gev86Nk,0.43,0.971,9,-3.845,1,0.0524,0.0271,2.16e-05,0.185,0.764,151.219,212000,4,Alternative
321,spotify:track:2OErSh4oVVAUll0vHxdr6p,0.401,0.901,1,-5.011,0,0.041,0.0704,0.0,0.538,0.839,134.799,193320,4,Alternative
327,spotify:track:4dneV7C1yDt9UtyxrQY375,0.465,0.841,11,-5.767,0,0.0633,0.00486,0.0,0.109,0.689,168.743,157533,4,Alternative
332,spotify:track:758wEKVqfYopJIHYWdLVd4,0.494,0.862,4,-9.158,0,0.0273,0.012,0.213,0.228,0.59,112.596,292800,4,Alternative
334,spotify:track:5muVpPu8Fj9fXfDbbqDdrZ,0.479,0.865,5,-8.281,0,0.0339,3.1e-05,0.228,0.182,0.77,137.902,215203,4,Alternative
337,spotify:track:3M2bD9SMYnJIPdrTKUnBd3,0.407,0.424,0,-10.583,1,0.0318,0.0847,0.0,0.234,0.404,113.311,349187,3,Alternative
338,spotify:track:7c1Dar0pIAW7w5TzaGjt9t,0.402,0.597,2,-9.258,1,0.0327,0.0385,2.09e-06,0.109,0.496,81.806,287000,4,Alternative
342,spotify:track:1MV5BzujqyRQ417qj0rXNS,0.456,0.857,7,-5.854,1,0.0833,0.00157,0.0344,0.333,0.559,167.709,197427,4,Alternative
343,spotify:track:5cy5IStIn7OSHDEIgXeDyq,0.489,0.913,5,-9.152,0,0.0479,0.00015,0.709,0.0703,0.539,135.756,171747,4,Alternative
344,spotify:track:5Ng6UbryNd3eds2zQk9MUf,0.415,0.853,7,-11.098,1,0.038,0.0107,0.000499,0.536,0.302,148.494,197013,4,Alternative
349,spotify:track:4CWgqHRJjDLd2PCedMz8eY,0.491,0.686,11,-8.22,1,0.0289,0.0236,0.263,0.451,0.437,103.715,278827,4,Alternative
366,spotify:track:60TmG8cFPMBo7kTTFOLiAB,0.47,0.909,9,-5.215,0,0.0339,0.00732,0.304,0.314,0.534,161.647,219067,4,Alternative
371,spotify:track:3xfOF1wyjUZocifZ5WLeFx,0.428,0.714,5,-9.735,1,0.0376,0.0697,0.212,0.163,0.435,94.033,323133,4,Alternative
372,spotify:track:4DkKgGqqfx8C79RFo8ZuTl,0.487,0.362,5,-12.041,0,0.0382,0.759,1.63e-05,0.0673,0.292,108.778,199227,4,Alternative
374,spotify:track:3n75gL3WU5tAwwAgssRI9j,0.469,0.852,2,-10.821,1,0.0446,0.422,2.68e-06,0.474,0.344,113.616,118960,4,Alternative
381,spotify:track:2yE3bwbhqypdsuhmv48Svn,0.439,0.971,11,-5.855,0,0.177,0.0148,1.34e-05,0.255,0.24,118.369,163880,4,Alternative
386,spotify:track:1LzNfuep1bnAUR9skqdHCK,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143,295600,3,Alternative
406,spotify:track:3uCkIqD0VzQUijbs8WIizs,0.401,0.13,5,-17.638,1,0.0312,0.989,0.305,0.101,0.213,93.091,210653,4,Alternative
412,spotify:track:6EZDbjz2X5XzgIZCtbsrXh,0.457,0.93,2,-4.544,0,0.0673,0.0309,6.27e-05,0.135,0.294,139.819,309307,4,Alternative
419,spotify:track:1o6DclZHw0HomxXEQR1ijX,0.494,0.735,5,-8.347,1,0.0345,0.00401,3.14e-06,0.544,0.742,132.526,283000,4,Alternative
432,spotify:track:1A3OA6zON5HHueFm4ejrRF,0.442,0.793,11,-5.378,0,0.0354,0.0557,0.0,0.0934,0.547,123.67,202867,4,Alternative
433,spotify:track:5E5HYgxGMp3BPakHGfKfIB,0.462,0.84,2,-6.666,1,0.0346,4.98e-05,6.47e-05,0.0893,0.804,75.54,246440,4,Alternative
436,spotify:track:43R4zUjfnrz0rjlcdzir3D,0.486,0.449,5,-10.298,1,0.0267,0.166,2.23e-06,0.54,0.549,100.456,254293,4,Alternative
441,spotify:track:66hdYurKbEfP74fvWtR7mj,0.428,0.899,9,-10.716,1,0.0462,0.00609,0.0,0.279,0.724,135.248,221347,4,Alternative
443,spotify:track:15BQ7vEDv2LJuh8TxWIhtd,0.498,0.889,0,-5.413,1,0.0546,0.0947,1.62e-06,0.733,0.696,134.88,283360,4,Alternative
448,spotify:track:7ATyLePQnHxFk5kzxWCcsh,0.415,0.782,2,-6.745,1,0.0461,0.0011,0.0,0.14,0.564,135.029,148480,4,Alternative
449,spotify:track:61MZN0yyMWSEwrLPUUGfgJ,0.42,0.965,0,-1.986,1,0.0403,0.0981,0.000335,0.0784,0.846,176.243,169920,4,Alternative
450,spotify:track:7bx4zW72qdZKBb8p6g80jb,0.489,0.788,10,-11.654,1,0.0452,0.176,7.98e-05,0.196,0.88,165.877,179507,4,Alternative
454,spotify:track:2rgHxOarlO4W35mg0IZ5u8,0.465,0.731,2,-10.592,1,0.0724,0.448,0.00112,0.297,0.638,129.684,184600,4,Alternative
456,spotify:track:4ZKgPZ9d4V5WW6H2s4qMD3,0.456,0.894,9,-4.602,1,0.037,0.458,0.485,0.0695,0.926,151.333,241991,4,Alternative
457,spotify:track:4Q3vc39QZjLpGG7cS33kiC,0.483,0.397,1,-10.805,1,0.0301,0.409,0.177,0.144,0.517,124.572,268933,4,Alternative
466,spotify:track:72zLGWrF2jxT6qs9sjFMPz,0.424,0.873,9,-6.13,0,0.0434,0.00451,0.0202,0.109,0.82,157.403,208041,4,Alternative
467,spotify:track:0WNGPpmWqzPnk0psUhJ3SX,0.429,0.668,4,-7.539,0,0.044,0.208,0.0,0.538,0.398,77.737,211067,4,Alternative
481,spotify:track:4AwKXevZmsTNa3KZVj3rzl,0.429,0.914,7,-9.594,1,0.0505,0.0321,9.26e-05,0.436,0.685,155.588,221507,4,Alternative
482,spotify:track:2sICTf5zrSZnTttimrcm2M,0.417,0.586,2,-12.217,1,0.04,0.000358,0.0457,0.0957,0.966,183.704,175640,4,Alternative
483,spotify:track:0LzCSYjFxH3LKSU4UIeRBk,0.46,0.765,2,-13.655,1,0.179,0.006,2.14e-06,0.111,0.196,167.764,176227,4,Alternative
487,spotify:track:0WghYc6JU0HbCvsgGlyqId,0.49,0.83,4,-9.283,1,0.0512,0.0922,0.0,0.0719,0.966,162.105,195133,4,Alternative
492,spotify:track:40N9Zf8HGajGhzthuI3BaM,0.417,0.598,4,-6.08,0,0.0476,0.035,4.8e-06,0.416,0.782,157.935,136960,4,Alternative
497,spotify:track:5OGfBbWmRRkDiZiJbu5WIr,0.44,0.904,11,-4.409,0,0.177,0.275,7.45e-06,0.106,0.546,138.104,167840,4,Alternative
505,spotify:track:7mxvuhmRrnQ31vHRm9A9qj,0.484,0.425,2,-10.851,1,0.288,0.338,2.02e-05,0.0429,0.603,197.674,203507,4,Alternative
506,spotify:track:2fWxcJeDQiLStdAdwF4ms6,0.434,0.614,6,-8.334,1,0.0525,0.486,0.000196,0.394,0.787,147.681,109667,4,Alternative
512,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,240800,4,Alternative
